Polish name;English name;Latin name;Category;Conservation;Order;Family;Status;Chosen;Top 30;Top 140;Image
alczyk;Dovekie;Alle alle;A;pod ścisłą ochroną;Charadriiformes;Alcidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/AlleAlle_2.jpg/150px-AlleAlle_2.jpg
alka;Razorbill;Alca torda;A;pod ścisłą ochroną;Charadriiformes;Alcidae;P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Razorbill_iceland.JPG/150px-Razorbill_iceland.JPG
bagiennik żółtobrewy;Savannah sparrow;Passerculus sandwichensis;A;;Passeriformes;Passerellidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Passerculus_sandwichensis_crop.jpg/150px-Passerculus_sandwichensis_crop.jpg
bajkałówka;Baikal teal;Sibirionetta formosa;A;;Anseriformes;Anatidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Anas.formosa.4.jpg/150px-Anas.formosa.4.jpg
batalion;Ruff;Calidris pugnax;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Charadriiformes;Scolopacidae;l P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Kampfl%C3%A4ufer_Gefieder_putzend.jpg/150px-Kampfl%C3%A4ufer_Gefieder_putzend.jpg
bażant;Ring-necked pheasant;Phasianus colchicus;C;łowny z okresem ochronnym;Galliformes;Phasianidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Phasianus_colchicus_2_tom_%28Lukasz_Lukasik%29.jpg/150px-Phasianus_colchicus_2_tom_%28Lukasz_Lukasik%29.jpg
bączek;Little bittern;Ixobrychus minutus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Pelecaniformes;Ardeidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Ixobrychus_minutus_3_%28Marek_Szczepanek%29.jpg/150px-Ixobrychus_minutus_3_%28Marek_Szczepanek%29.jpg
bąk;Great bittern;Botaurus stellaris;A;pod ścisłą ochroną;Pelecaniformes;Ardeidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Botaurus_stellaris_%28Marek_Szczepanek%29.jpg/150px-Botaurus_stellaris_%28Marek_Szczepanek%29.jpg
bekasik;Jack snipe;Lymnocryptes minimus;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;(l) P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Lymnocryptes_minimus_%28Marek_Szczepanek%29.jpg/150px-Lymnocryptes_minimus_%28Marek_Szczepanek%29.jpg
bernikla białolica;Barnacle goose;Branta leucopsis;A;pod ścisłą ochroną;Anseriformes;Anatidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Weisswangengans-01.jpg/150px-Weisswangengans-01.jpg
bernikla kanadyjska;Canada goose;Branta canadensis;C;;Anseriformes;Anatidae;l P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Wild_goose.jpg/150px-Wild_goose.jpg
bernikla obrożna;Brant;Branta bernicla;A;pod ścisłą ochroną;Anseriformes;Anatidae;P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Branta_bernicla_bernicla_-_Brent_Goose.jpg/150px-Branta_bernicla_bernicla_-_Brent_Goose.jpg
bernikla rdzawoszyja;Red-breasted goose;Branta ruficollis;A;pod ścisłą ochroną;Anseriformes;Anatidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Branta_ruficollis_001.jpg/150px-Branta_ruficollis_001.jpg
białorzytka;Northern wheatear;Oenanthe oenanthe;A;pod ścisłą ochroną;Passeriformes;Muscicapidae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Oenanthe_oenanthe_01_II.jpg/150px-Oenanthe_oenanthe_01_II.jpg
białorzytka płowa;Isabelline wheatear;Oenanthe isabellina;A;pod ścisłą ochroną;Passeriformes;Muscicapidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Isabelline_wheatear_%28Oenanthe_isabellina%29_male%2C_non-breeding.jpg/150px-Isabelline_wheatear_%28Oenanthe_isabellina%29_male%2C_non-breeding.jpg
białorzytka pstra;Pied wheatear;Oenanthe pleschanka;A;pod ścisłą ochroną;Passeriformes;Muscicapidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Oenanthe_pleschanka.jpg/150px-Oenanthe_pleschanka.jpg
białorzytka pustynna;Desert wheatear;Oenanthe deserti;A;pod ścisłą ochroną;Passeriformes;Muscicapidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Oenanthe_deserti2.jpg/150px-Oenanthe_deserti2.jpg
białorzytka saharyjska;White-crowned wheatear;Oenanthe leucopyga;A;pod ścisłą ochroną;Passeriformes;Muscicapidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Saharasteinschmaetzer.jpg/150px-Saharasteinschmaetzer.jpg
białozór;Gyrfalcon;Falco rusticolus;A;pod ścisłą ochroną;Falconiformes;Falconidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Falco_rusticolus_1.jpg/150px-Falco_rusticolus_1.jpg
biegus arktyczny;Pectoral sandpiper;Calidris melanotos;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Pectoral_Sandpiper3.jpg/150px-Pectoral_Sandpiper3.jpg
biegus białorzytny;White-rumped sandpiper;Calidris fuscicollis;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/White-rumped_Sandpiper.jpg/150px-White-rumped_Sandpiper.jpg
biegus długoskrzydły;Baird's sandpiper;Calidris bairdii;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Calidris_bairdii_-Gullbringusysla%2C_Iceland-8.jpg/150px-Calidris_bairdii_-Gullbringusysla%2C_Iceland-8.jpg
biegus karłowaty;Least sandpiper;Calidris minutilla;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Least_Sandpiper.jpg/150px-Least_Sandpiper.jpg
biegus krzywodzioby;Curlew sandpiper;Calidris ferruginea;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Calidris_ferruginea_%28Marek_Szczepanek%29.jpg/150px-Calidris_ferruginea_%28Marek_Szczepanek%29.jpg
biegus malutki;Little stint;Calidris minuta;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Little-Stint.jpg/150px-Little-Stint.jpg
biegus mały;Temminck's stint;Calidris temminckii;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Temminck%27s_Stint_%28Non-_breeding_plumage%29_I_IMG_1477.jpg/150px-Temminck%27s_Stint_%28Non-_breeding_plumage%29_I_IMG_1477.jpg
biegus morski;Purple sandpiper;Calidris maritima;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Purple_Sandpiper_winter.jpg/150px-Purple_Sandpiper_winter.jpg
biegus płaskodzioby;Broad-billed sandpiper;Calidris falcinellus;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Limicola_falcinellus.jpg/150px-Limicola_falcinellus.jpg
biegus płowy;Buff-breasted sandpiper;Calidris subruficollis;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Buff-breasted_Sandpiper.jpg/150px-Buff-breasted_Sandpiper.jpg
biegus rdzawy;Red knot;Calidris canutus;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Calidris-canutus.jpg/150px-Calidris-canutus.jpg
biegus tundrowy;Semipalmated sandpiper;Calidris pusilla;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Calidris-pusilla-001.jpg/150px-Calidris-pusilla-001.jpg
biegus wielki;Great knot;Calidris tenuirostris;A;pod ścisłą ochroną;Charadriiformes;Scolopacidae;z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Great_Knot_scarboro_.sep02.jpg/150px-Great_Knot_scarboro_.sep02.jpg
biegus zmienny;Dunlin;Calidris alpina;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Charadriiformes;Scolopacidae;(l) P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Calidris_alpina_01.jpg/150px-Calidris_alpina_01.jpg
bielaczek;Smew;Mergellus albellus;A;pod ścisłą ochroną;Anseriformes;Anatidae;P;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Smew.both.arp.600pix.jpg/150px-Smew.both.arp.600pix.jpg
bielik;White-tailed eagle;Haliaeetus albicilla;A;pod ścisłą ochroną;Accipitriformes;Accipitridae;L;1;0;1;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Haliaeetus_albicilla_LC0194.jpg/150px-Haliaeetus_albicilla_LC0194.jpg
bielik wschodni;Pallas's fish-eagle;Haliaeetus leucoryphus;B;pod ścisłą ochroną;Accipitriformes;Accipitridae;(z);0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Pallas%27s_Fish_Eagle_%28_Haliaeetus_leucoryphus%29.jpg/150px-Pallas%27s_Fish_Eagle_%28_Haliaeetus_leucoryphus%29.jpg
birginiak;Steller's eider;Polysticta stelleri;A;pod ścisłą ochroną;Anseriformes;Anatidae;Z;0;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Stellersdrake2.jpg/150px-Stellersdrake2.jpg
błotniak łąkowy;Montagu's harrier;Circus pygargus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Accipitriformes;Accipitridae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Male_monty01.jpg/150px-Male_monty01.jpg
błotniak stawowy;Eurasian marsh harrier;Circus aeruginosus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Accipitriformes;Accipitridae;L;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Circus_aeruginosus_samiec4.jpg/150px-Circus_aeruginosus_samiec4.jpg
błotniak stepowy;Pallid harrier;Circus macrourus;A;pod ścisłą ochroną;Accipitriformes;Accipitridae;P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Circus_macrourus.jpg/150px-Circus_macrourus.jpg
błotniak zbożowy;Hen harrier;Circus cyaneus;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Accipitriformes;Accipitridae;l P;1;0;0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Weibliche_Kornweihe_%28circus_cyaneus%29_-_Spiekeroog%2C_Nationalpark_Nieders%C3%A4chsisches_Wattenmeer.jpg/150px-Weibliche_Kornweihe_%28circus_cyaneus%29_-_Spiekeroog%2C_Nationalpark_Nieders%C3%A4chsisches_Wattenmeer.jpg
bocian biały;White stork;Ciconia ciconia;A;"pod ścisłą ochroną; wymaga ochrony czynnej";Ciconiiformes;Ciconiidae;L;1;1;1;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Ciconia_ciconia_01.JPG/150px-Ciconia_ciconia_01.JPG
