,Latin name,Polish name,Category,Status
0,Oxyura leucocephala,sterniczka,A,Z
1,Cygnus olor,łabędź niemy,A,L
2,Cygnus columbianus,łabędź czarnodzioby,A,P
3,Cygnus cygnus,łabędź krzykliwy,A,L
4,Branta bernicla,bernikla obrożna,A,P
5,Branta leucopsis,bernikla białolica,A,P
6,Branta ruficollis,bernikla rdzawoszyja,A,P
7,Branta canadensis,bernikla kanadyjska,C,l P
8,Anser anser,gęgawa,A,L
9,Anser fabalis,gęś zbożowa,A,P
10,Anser brachyrhynchus,gęś krótkodzioba,A,P
11,Anser serrirostris,gęś tundrowa,A,P
12,Anser albifrons,gęś białoczelna,A,P
13,Anser erythropus,gęś mała,A,P
14,Alopochen aegyptiaca,gęsiówka egipska,C,l P
15,Tadorna tadorna,ohar,A,L
16,Tadorna ferruginea,kazarka rdzawa,A,(l) P
17,Aix galericulata,mandarynka,C,l P
18,Clangula hyemalis,lodówka,A,P
19,Polysticta stelleri,birginiak,A,Z
20,Somateria spectabilis,turkan,A,Z
21,Somateria mollissima,edredon,A,l P
22,Histrionicus histrionicus,kamieniuszka,A,z
23,Melanitta fusca,uhla,A,P
24,Melanitta stejnegeri,uhla azjatycka,A,z
25,Melanitta nigra,markaczka,A,P
26,Melanitta americana,markaczka amerykańska,A,Z
27,Bucephala clangula,gągoł,A,L
28,Mergellus albellus,bielaczek,A,P
29,Mergus merganser,nurogęś,A,L
30,Mergus serrator,szlachar,A,(l) P
31,Netta rufina,hełmiatka,A,l P
32,Aythya ferina,głowienka,A,L
33,Aythya nyroca,podgorzałka,A,L
34,Aythya collaris,czerniczka,A,Z
35,Aythya fuligula,czernica,A,L
36,Aythya marila,ogorzałka,A,(l) P
37,Aythya affinis,ogorzałka mała,A,z
38,Sibirionetta formosa,bajkałówka,A,z
39,Spatula querquedula,cyranka,A,L
40,Spatula clypeata,płaskonos,A,L
41,Spatula discors,cyranka modroskrzydła,A,z
42,Mareca strepera,krakwa,A,L
43,Mareca penelope,świstun,A,l P
44,Mareca americana,świstun amerykański,A,Z
45,Anas platyrhynchos,krzyżówka,A,L
46,Anas acuta,rożeniec,A,l P
47,Anas crecca,cyraneczka,A,L
